name,latitude,longitude,count
ZAP - Le Tapageur,45.401781,-71.889849,1
ZAP - Clinique optométrique Place de l'Est,45.408478,-71.872741,1
ZAP - Séminaire de Sherbrooke (22),45.402714,-71.893628,1
ZAP - Cégep de Sherbrooke (17),45.409022,-71.883414,1
ZAP - CDE Solutions Informatiques,45.401959,-71.890803,1
ZAP - Municipalité de Saint-Herméningilde,45.106182,-71.678102,1
ZAP - Complexe de la Cité des rivières,45.398979,-71.904421,1
ZAP - Corporation de développement économique communautaire de Sherbrooke,45.402657,-71.891088,1
ZAP - D1. Hôtel de ville / Salle d'honneur,45.404043,-71.893236,1
ZAP - CRE ESTRIE,45.400095,-71.892639,1
ZAP - Hôtel de Ville de Coaticook,45.13438,-71.804425,1
ZAP - Terminus Limocar,45.399974,-71.888269,1
ZAP - Arena Magog,45.262448,-72.128552,1
ZAP - Restaurant Demers,45.403681,-71.868789,1
ZAP - F1. Parc du Domaine Howard-SDES/local S108,45.40207,-71.909713,1
ZAP - La Piazzetta Magog,45.266243,-72.153045,1
ZAP - Clinique optométrique de Sherbrooke,45.399969,-71.893429,1
ZAP - Taverne Alexandre,45.394513,-71.890495,1
ZAP - A2. Maison des arts et de la culture Salle Kruger,45.475864,-71.940291,1
ZAP - E3. Bibliothèque et Centre Culturel (Rock Forest),45.369243,-71.989675,1
ZAP - Musée de la Nature et des Sciences,45.401446,-71.898452,1
ZAP - B4. Édifice Expo-Sherbrooke/grande salle CERAS,45.409802,-71.881325,1
ZAP - Café Pierre Jean Jase,45.404967,-71.899563,1
ZAP - B6. Centre Culturel et Communautaire du Coeur Immaculé,45.403991,-71.866907,1
ZAP - Centre Dentaire Portland,45.403772,-71.91977,1
ZAP - STS rue du Dépôt,45.402046,-71.888747,1
ZAP - Le Tassé,45.403321,-71.877641,1
ZAP - Dobson-Lagassé Entrepreneurship Centre (Bishop's University),45.365466,-71.845039,1
ZAP - Commerce Sherbrooke,45.404097,-71.892063,1
ZAP - E1. Bibliothèque du secteur de Saint-Élie/local 127,45.392472,-72.039604,1
ZAP - Eggsfruits King Ouest,45.385703,-71.962267,1
ZAP - Orthodontiste Dr. Jean Cassar,45.402593,-71.891049,1
ZAP - STS rue du Collège,45.411873,-71.884458,1
ZAP - Excellence Fitness,45.409207,-71.860628,1
ZAP - Méchant Steak,45.403182,-71.891415,1
ZAP - La Mie d'Orford,45.309507,-72.164919,1
ZAP - AUBERGE D & K,45.097991,-72.623106,1
ZAP - Pro-Gestion Estrie,45.40288,-71.891226,1
ZAP - Sebby's,45.364179,-71.85641,1
ZAP - Mikes Bromont,45.333421,-72.646848,1
ZAP - Old Lenoxville Golf Club,45.359021,-71.848183,1
ZAP - Dijitec,45.383942,-71.96614,1
ZAP - Ateliers Municipaux Ville de Coaticook,45.131875,-71.814785,1
ZAP - Club de Golf du Mont Orford,45.322492,-72.188446,1
ZAP - VOLKSWAGEN ESTRIE,45.367731,-71.994556,1
ZAP - Rotisserie Express,45.566328,-72.011989,1
ZAP - E4. Centre communautaire optimiste/local 206-1,45.347659,-71.992647,1
ZAP - Pub du Nord de Sherbrooke,45.398553,-71.932198,1
ZAP - STS rue Cabana,45.391858,-71.928479,1
ZAP - Ranch du Spaghetti,45.38541,-71.963176,1
ZAP - Bishop's University (Knowlton Campus),45.106752,-72.369331,1
ZAP - Siboire,45.399369,-71.887643,1
ZAP - Boston Pizza,45.406931,-71.959626,1
ZAP - Connaught Home,45.275694,-71.973065,1
ZAP - D9. Bureau de l’arrondissement du Mont-Bellevue – ext. Aire de repos du Parc Belvédère,45.374941,-71.892922,1
ZAP - Eggspress Du Verger,45.134385,-71.804445,1
ZAP - F5. Centre communautaire de Loisirs de Sherbrooke,45.390606,-71.903067,1
ZAP - Gestion Socpra,45.395008,-71.951286,1
ZAP - IGA COATICOOK,45.136418,-71.804302,1
ZAP - Café Bla-Bla,45.401282,-71.890278,1
ZAP - Resto-Bar Mi-Vallon,45.383942,-71.96614,1
ZAP - CDR Estrie,45.408202,-71.897313,1
ZAP - Clinique dentaire Galt,45.38692,-71.92638,1
ZAP - D10. Centre des arts de la scène Jean Besré,45.397757,-71.887472,1
ZAP - Media5 Corporation,45.407022,-71.96772,1
ZAP - Thibault Chevrolet Cadillac Buick GMC,45.389499,-71.959848,1
ZAP - Toyota Richmond,45.70378,-72.10352,1
ZAP - IGA Cookshire,45.412433,-71.62915,1
ZAP - Resto La Muse,45.88574,-72.489799,1
ZAP - Jack'O Rock Forest,45.3675,-71.993816,1
ZAP - Canadian Tire,45.422823,-71.968297,1
ZAP - F4. Parc Jacques Cartier Pavillon Armand Nadeau,45.395444,-71.916555,1
ZAP - Restaurant La Place,45.123974,-71.796601,1
ZAP - Pneus & Mécanique Wellington,45.394873,-71.886472,1
ZAP - D11. Aréna Ivan Dugré,45.388399,-71.906752,1
ZAP - CLD Memphrémagog,45.269807,-72.151714,1
ZAP - Centre Récréatif Gérard-Couillard,45.133394,-71.799065,1
ZAP - Galeries Quatre Saisons,45.421355,-71.87065,1
ZAP - RESTAURANT PIZZA PLUS,45.787751,-72.023005,1
ZAP - C1. Bibliothèque de Lennoxville,45.366422,-71.856857,1
ZAP - Restaurant l'entr'amis,45.419122,-71.872413,1
ZAP - D4. Parc du Mont-bellevue chalet Antonio Pinard,45.384443,-71.908399,1
ZAP - Val-Estrie Ford Lincoln,45.386056,-71.961824,1
ZAP - CFLX Radio Communautaire de l'Estrie,45.402466,-71.89097,1
ZAP - Champlain College Lennoxville,45.366062,-71.843891,1
ZAP - Centre culturel Yvonne L. Bombardier,45.5172,-72.31647,1
ZAP - Aeroport de Sherbrooke,45.443633,-71.689568,1
ZAP - A1. Bibliotheque Gisele-Bergeron,45.474274,-71.945438,1
ZAP - Parc national du Mont-Orford,45.314782,-72.175158,1
ZAP - D6. Parc Lucien Blanchard-extérieur Aire de repos,45.394634,-71.927797,1
ZAP - CPE Estrie,45.40336,-71.891535,1
ZAP - Charlie viande fumée,45.399115,-71.89493,1
ZAP - A4. Centre sportif Philippe Bergeron,45.474341,-71.952915,1
ZAP - Éco-Café Utopia,45.396167,-71.891445,1
ZAP - Université de Sherbrooke 2,45.379462,-71.926632,1
ZAP - Le Liverpool ,45.400861,-71.889811,1
ZAP - Brasserie le Dauphin,45.408335,-71.869153,1
ZAP - Carrefour jeunesse-emploi de Sherbrooke,45.401717,-71.890506,1
ZAP - D12. La Société d'Histoire de Sherbrooke,45.40576,-71.894841,1
ZAP - Café Aragon,45.389631,-71.9135,1
ZAP - Pneus Shermont,45.409024,-71.857198,1
ZAP - Le cafe du Globe,45.387019,-71.930067,1
ZAP - Centre de Productique Intégrée Du Québec Inc,45.398842,-71.860832,1
ZAP - Resto Bar la Galoche,45.650063,-72.565556,1
ZAP - Club de Golf de Sherbrooke,45.414265,-71.927626,1
ZAP - F2. Bureau d'information touristique,45.398648,-71.899839,1
ZAP - Grace Christian Home,45.342177,-71.843569,1
ZAP - Restaurant MIKES,45.398872,-71.915882,1
ZAP - Clinique Dentaire Ayotte et Associés,45.400467,-71.893958,1
ZAP - Brunelle,45.131953,-71.813486,1
ZAP - SANC,45.39266,-71.893946,1
ZAP - Centre de Beauté Confidence,45.400057,-71.893666,1
ZAP - D5. Marché de la gare – extérieur  Aire de repos,45.397169,-71.896548,1
ZAP - Carrefour Accès Loisirs,45.392925,-71.887475,1
ZAP - Centre de formation Champlain,45.406848,-71.907749,1
ZAP - Cégep de Sherbrooke (17),45.409022,-71.883414,1
ZAP - Camping de la Fondation Roger Talbot,45.45852,-72.6497,1
ZAP - MysTea,45.401591,-71.890385,1
ZAP - B1. Centre multisport Roland-Dussault,45.413474,-71.882505,1
ZAP - Restaurant TWIST,45.375051,-71.981206,1
ZAP - Garage René Jacques inc.,45.383942,-71.96614,1
ZAP - Da Toni,45.398887,-71.897085,1
ZAP - Motel des cèdres,45.383942,-71.96614,1
ZAP - Resto Chez Dadou,45.748402,-71.006072,1
ZAP - Parc national du Mont-Orford 2,45.314782,-72.175158,1
ZAP - CSSS-IUGS - CLSC 1200 King Est - 2,45.408818,-71.853617,1
ZAP - Stade Julien-Morin,45.136866,-71.798859,1
ZAP - Piscine Municipale,45.134957,-71.799431,1
ZAP - Plage Lyster,45.022676,-71.910234,1
ZAP - Pavillon Laurence,45.134957,-71.799431,1
ZAP - Bar à pâtes Mia Pasta,45.398479,-71.920581,1
ZAP - CSSS-IUGS - Hôpital et centre d’hébergement Argyll,45.403716,-71.913298,1
ZAP - CSSS-IUGS - Hôpital et centre d’hébergement D’Youville,45.390691,-71.896039,1
ZAP - CSSS-IUGS -Centre d’hébergement St-Joseph,45.407297,-71.901624,1
"ZAP - CSSS-IUGS - CLSC 50, rue Camirand",45.398775,-71.894493,1
ZAP - Café Mazagan,45.395776,-71.894769,1
ZAP - Le four à bois d'Orford,45.306348,-72.16535,1
ZAP - Salon de Quilles Alpha,45.37749,-71.97687,1
"ZAP - CSSS-IUGS - Édifice 500, rue Murray",45.400888,-71.877476,1
ZAP - CSSS du Granit,45.589815,-70.905894,1
ZAP - CSSS-IUGS - Centre d’hébergement St-Vincent,45.406729,-71.882289,1
ZAP - Antidote Food Lab ,45.399144,-71.897249,1
ZAP - Friterie Laurier,45.631346,-72.935625,1
ZAP - Restaurant An Phu,45.408296,-71.864655,1
ZAP - Restaurant Louis King Ouest,45.398593,-71.920532,1
ZAP - CIK Audio Video,45.39861,-71.922188,1
ZAP - Mikes King Est,45.407999,-71.873001,1
ZAP - La Maison Aube-Lumière,45.445095,-71.865692,1
ZAP - Pavillon des arts et de la culture de Coaticook,45.134131,-71.803901,1
ZAP - Restaurant Jack-O Coaticook,45.138608,-71.807355,1
ZAP - Brasserie Fleurimont,45.425196,-71.871748,1
ZAP - Chez Renaud Comptoirs,45.398295,-71.937668,1
ZAP - OMG Burger,45.399034,-71.906762,1
ZAP - E2. Centre communautaire Richard Gingras/local 209,45.392584,-72.040219,1
ZAP - Buffet des Continents,45.395821,-71.89443,1
ZAP - Resto D’Austin SEMC,45.184064,-72.276689,1
ZAP - Scores Sherbrooke,45.397716,-71.941171,1
ZAP - Micro Brasserie La Memphré,45.266538,-72.155525,1
ZAP - Café Hubert St-Jean,45.372096,-71.986444,1
ZAP - MicroAge Sherbrooke,45.393842,-71.897231,1
ZAP - Spot Jeunesse de Sherbrooke,45.394511,-71.893678,1
ZAP - Chez Renaud Comptoirs Gourmet,45.398289,-71.938479,1
ZAP - L'Ami-Daniel Unipneu,45.388964,-71.909448,1
ZAP - Freddy Pizzeria,45.403737,-71.871516,1
ZAP - Le Club Stan-Buy,45.397722,-71.888089,1
ZAP - CLD de la MRC de Memphrémagog,45.270097,-72.15157,1
ZAP - Hôtellerie Jardins de Ville #3,45.384688,-71.965025,1
ZAP - Déjeuner Eggspresso Café Bistro,45.275898,-72.132608,1
ZAP - Restaurant Viet Cantine,45.366472,-71.856519,1
ZAP - DT-Bistro RF,45.371811,-71.986948,1
ZAP - IGA Bouchard,45.394411,-72.013681,1
ZAP - Musée J.Armand Bombardier,45.494694,-72.310524,1
ZAP - l’Omnibouffe,45.3967,-71.878502,1
ZAP - Clinique Dentaire Rock Forest,45.370684,-71.989455,1
ZAP - NV Cloutier,45.398062,-71.934675,1
ZAP - Rotisserie Parenteau Junior,45.62205,-72.956482,1
ZAP - Café Lucas,45.267763,-72.155388,1
ZAP - Casa du Spaghetti,45.407726,-72.742159,1
ZAP - O Chevreuil,45.402515,-71.890906,1
ZAP - Gouts et Saveurs,45.266195,-72.153565,1
ZAP - Rotisserie Orford,45.266507,-72.145398,1
ZAP - Auberge Mc Gowan,45.12914,-72.188718,1
ZAP - Maison des Jeunes Coaticook,45.133739,-71.799772,1
ZAP - Pub Le Moulin 7,45.775708,-71.938132,1
ZAP - Aeroport de Sherbrooke #2,45.441543,-71.689273,1
ZAP - Cafe St-Michel,45.26669,-72.15523,1
ZAP - Delia Eggxtra,45.408093,-71.874102,1
